MZ	Intensity	Resolution	S/N
499.09325	236789	556333	0.8	
499.09668	276186	207959	1.2	
499.10061	256646	348827	1.0	
499.10821	263667	173917	1.1	
499.11882	350040	386021	2.1	
499.12131	273464	511952	1.2	
499.12365	313784	380988	1.7	
499.13110	243585	325772	0.9	
499.14908	298923	290125	1.5	
499.15384	382060	271541	2.5	
499.15664	288972	228164	1.4	
499.15883	279532	334187	1.3	
499.16304	229661	757073	0.7	
499.16514	231229	674460	0.7	
499.17332	352798	325399	2.1	
499.18698	353567	231101	2.1	
499.19182	245456	362349	0.9	
499.19564	339792	243817	2.0	
499.20429	282641	289983	1.3	
499.21830	237418	263756	0.8	
499.22173	324355	285784	1.8	
499.23224	328932	325466	1.9	
499.23664	278932	235036	1.3	
499.24337	308581	367306	1.6	
499.24580	235813	501580	0.8	
499.24769	312101	405705	1.7	
499.25001	394821	358019	2.6	
499.25748	305446	353567	1.6	
499.26337	272567	360170	1.2	
499.27710	367240	374014	2.3	
499.29060	301146	365539	1.5	
499.29536	247818	389437	0.9	
499.30886	385116	138765	2.5	
499.31568	289468	286502	1.4	
499.32417	251437	365719	1.0	
499.34124	227151	571023	0.7	
499.34365	228143	443223	0.7	
499.34539	276607	308677	1.2	
499.35627	450272	174036	3.3	
499.35874	483601	184048	3.7	
499.36775	397266	278574	2.7	
499.37078	241154	354100	0.8	
499.37512	254354	266869	1.0	
499.38756	226388	619242	0.7	
499.39223	294892	221872	1.5	
499.39999	327445	338314	1.8	
499.40215	242677	513403	0.8	
499.40449	264469	528818	1.1	
499.41101	297318	197604	1.5	
499.41319	262730	186110	1.1	
499.41722	274839	355984	1.2	
499.42078	343799	299454	2.0	
499.42997	289208	408432	1.4	
499.44241	284873	267324	1.3	
499.44627	231474	328237	0.7	
499.44892	261306	282096	1.1	
499.46398	491900	179203	3.8	
499.46762	341452	231225	2.0	
499.47216	450748	239525	3.3	
499.47552	250381	395536	0.9	
499.48089	392349	249290	2.6	
499.49055	228446	417210	0.7	
499.49403	380287	243862	2.5	
499.50301	426528	226166	3.0	
499.51211	273952	270788	1.2	
499.51678	408673	238749	2.8	
499.52683	341482	213088	2.0	
499.53229	399475	240864	2.7	
499.53708	392755	192586	2.6	
499.54019	240971	341233	0.8	
499.54385	365316	271410	2.3	
499.54855	385684	224902	2.5	
499.55978	245861	513970	0.9	
499.56385	335782	361285	1.9	
499.56982	264422	409207	1.1	
499.57240	233879	345467	0.7	
499.57683	433735	318741	3.1	
499.57968	372519	357278	2.4	
499.58487	330360	323679	1.9	
499.58840	342032	247644	2.0	
499.58997	368840	177995	2.3	
499.59314	359817	337441	2.2	
499.59709	341289	346946	2.0	
499.60604	369354	309431	2.3	
499.61619	327259	215234	1.8	
499.62048	311074	144996	1.7	
499.62607	254124	359156	1.0	
499.63123	400093	188287	2.7	
499.63998	331774	310412	1.9	
499.64442	333878	146200	1.9	
499.64646	337454	225432	2.0	
499.65294	350911	227456	2.1	
499.65990	363488	248245	2.3	
499.66874	235153	518551	0.8	
499.67157	297793	273390	1.5	
499.68300	285290	234768	1.3	
499.69119	265731	393877	1.1	
499.69581	239051	360925	0.8	
499.69927	247156	229636	0.9	
499.70194	290052	248540	1.4	
499.70518	326324	370429	1.8	
499.72012	263414	385987	1.1	
499.72301	268902	355214	1.2	
499.73689	313016	313736	1.7	
499.74024	355608	307089	2.2	
499.74894	288665	240126	1.4	
499.75167	280977	180806	1.3	
499.75603	320960	148887	1.8	
499.75979	397370	277352	2.7	
499.76472	229354	611647	0.7	
499.76722	280923	467583	1.3	
499.77330	245819	367668	0.9	
499.78108	271676	458718	1.2	
499.78646	301765	239257	1.5	
499.78987	322685	364545	1.8	
499.82087	315040	305884	1.7	
499.82977	267745	410694	1.1	
499.83428	272882	370465	1.2	
499.84907	310995	342186	1.6	
499.86162	477988	285227	3.6	
499.87316	250888	144450	0.9	
499.87431	259406	473222	1.0	
499.88332	224791	546356	0.6	
499.88673	314135	250446	1.7	
499.89216	264848	154631	1.1	
499.89504	239012	183044	0.8	
499.90194	266393	403827	1.1	
499.91645	291266	213996	1.4	
499.91860	293754	242384	1.4	
499.92340	478451	132464	3.6	
499.92765	310219	454262	1.6	
499.93017	324780	263137	1.8	
499.93263	279212	237729	1.3	
499.93780	403820	229158	2.7	
499.94000	299645	224735	1.5	
499.94355	413645	323616	2.9	
499.94834	449741	195545	3.3	
499.95065	466350	186475	3.5	
499.95551	308614	156225	1.6	
499.96405	232143	420191	0.7	
499.96709	278831	370204	1.3	
499.97005	271568	238087	1.2	
499.97171	255448	330797	1.0	
499.98560	249457	446753	0.9	
499.99007	250370	470078	0.9	
499.99944	398131	194413	2.7	
500.00231	229299	644154	0.7	
500.01092	232420	523047	0.7	
500.01433	296436	249877	1.5	
500.02001	304805	284791	1.6	
500.02384	249845	415219	0.9	
500.02763	241302	405295	0.8	
500.04309	276295	318398	1.2	
500.05290	294168	320213	1.5	
500.06055	328425	236181	1.9	
500.06359	229565	231914	0.7	
500.06565	241794	196262	0.8	
500.06877	281130	262971	1.3	
500.07550	316187	249412	1.7	
500.07973	287099	384282	1.4	
500.08369	315947	218170	1.7	
500.09155	257964	250313	1.0	
500.09644	282077	329351	1.3	
500.09967	306941	304510	1.6	
500.10625	382910	304093	2.5	
500.11883	330655	388397	1.9	
500.12142	281119	421779	1.3	
500.12686	456096	210051	3.4	
500.12986	275472	258009	1.2	
500.13289	267584	249528	1.1	
500.13673	371593	170644	2.4	
500.13891	344833	204865	2.0	
500.14256	254257	132328	1.0	
500.15659	284867	403675	1.3	
500.16030	395099	183499	2.6	
500.16432	305188	386298	1.6	
500.16786	287300	341171	1.4	
500.17638	283397	311982	1.3	
500.19379	297523	162254	1.5	
500.19749	284391	419244	1.3	
500.20141	239128	167813	0.8	
500.21532	276537	396369	1.2	
500.22159	297178	312002	1.5	
500.22674	318378	283513	1.7	
500.23282	319499	186923	1.7	
500.23485	278507	337632	1.3	
500.23874	390731	244461	2.6	
500.24901	406380	263974	2.8	
500.25368	249821	240561	0.9	
500.25635	278709	208108	1.3	
500.26742	323310	357081	1.8	
500.27569	325679	182827	1.8	
500.27790	309311	199540	1.6	
500.29317	293873	289899	1.4	
500.29914	307554	245229	1.6	
500.30491	227074	530888	0.7	
500.30963	278083	314187	1.3	
500.31647	389507	194022	2.6	
500.32863	258101	306375	1.0	
500.33322	275861	382877	1.2	
500.33954	260086	460243	1.1	
500.34685	267782	354082	1.1	
500.34966	262999	478704	1.1	
500.35353	239111	459995	0.8	
500.35783	262520	365666	1.1	
500.36715	259945	326281	1.1	
500.37458	307977	230718	1.6	
500.37656	266298	298700	1.1	
500.39373	386107	297848	2.5	
